community_id,community_name,district,latitude,longitude,flood_risk_score,heat_stress_index,air_quality_pm25,drought_index,rainfall_anomaly_pct,health_facility_distance_km,health_worker_density,vaccine_coverage_pct,malaria_incidence_rate,population_density,child_population_pct,poverty_rate,female_headed_households_pct,refugee_population_pct,safe_water_access_pct,electricity_access_pct,road_access_score
UGA-0001,Bwaise North,Kampala,0.3612,32.5541,3.2,7.8,45.2,1.1,12.5,1.2,3.8,82.0,12.4,4820.0,42.1,28.3,31.2,0.0,78.5,65.2,8.1
UGA-0002,Kyangwali Zone A,Kyangwali,1.4021,30.8912,7.8,6.2,22.1,4.5,-18.3,12.4,0.8,64.0,88.2,320.0,55.3,68.2,42.1,72.4,38.2,8.1,3.2
UGA-0003,Nakivale Block C,Nakivale,-0.8721,30.9654,6.1,7.1,19.8,5.2,-22.1,8.9,0.9,58.0,102.4,480.0,58.1,72.4,45.2,85.3,32.1,5.4,2.8
UGA-0004,Lira Central,Lira,2.2387,32.8912,2.1,8.4,31.2,3.2,8.4,3.1,2.1,75.0,45.2,1240.0,48.2,41.2,28.4,2.1,62.4,42.1,6.8
UGA-0005,Gulu Bardege,Gulu,2.7812,32.3021,3.8,8.1,28.4,2.8,5.2,4.2,1.8,71.0,38.4,980.0,46.8,44.8,32.1,1.2,58.2,38.4,5.9
UGA-0006,Mbale Namatala,Mbale,1.0712,34.1821,4.2,7.2,35.8,2.1,15.8,2.8,2.4,78.0,28.1,2140.0,44.2,38.4,29.8,0.5,68.4,48.2,7.1
UGA-0007,Kyangwali Zone B,Kyangwali,1.4312,30.9124,8.2,5.8,20.4,5.1,-28.4,15.2,0.7,55.0,112.8,280.0,57.4,74.2,44.8,78.2,29.8,4.2,2.4
UGA-0008,Nakivale Sector 2,Nakivale,-0.8912,30.9821,5.8,6.9,21.2,4.8,-19.8,10.2,0.8,61.0,95.4,420.0,56.8,70.1,43.2,82.4,34.8,6.1,3.1
UGA-0009,Kampala Kawempe,Kampala,0.3821,32.5412,2.8,8.2,52.4,0.8,18.2,0.8,4.2,85.0,8.2,6240.0,40.2,24.8,28.1,0.0,82.4,72.4,8.8
UGA-0010,Lira Adyel,Lira,2.2612,32.9021,2.4,8.6,29.8,2.9,6.8,5.4,1.9,72.0,52.4,840.0,47.4,45.2,30.2,1.8,55.8,35.2,6.2
